connector,payment_method,payment_method_type,feature,description,hs_endpoint,cypress_test_status
gigadat,BankRedirect,Interac,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
globalpay,BankRedirect,Eps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
globalpay,BankRedirect,Eps,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
globalpay,BankRedirect,Giropay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
globalpay,BankRedirect,Giropay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
globalpay,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
globalpay,BankRedirect,Ideal,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
globalpay,BankRedirect,Sofort,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
globalpay,BankRedirect,Sofort,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
globalpay,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
globalpay,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
globalpay,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
globalpay,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
globalpay,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
globalpay,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
globalpay,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
globalpay,Wallet,Paypal,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
globepay,Wallet,AliPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
globepay,Wallet,WeChatPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
gocardless,BankDebit,Ach,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
gocardless,BankDebit,Ach,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
gocardless,BankDebit,Becs,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
gocardless,BankDebit,Becs,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
gocardless,BankDebit,Sepa,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
gocardless,BankDebit,Sepa,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
helcim,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
helcim,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
helcim,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
helcim,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
hipay,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
hipay,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
hyperpg,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
hyperpg,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
hyperpg,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
hyperpg,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
iatapay,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
iatapay,BankRedirect,LocalBankRedirect,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
iatapay,RealTimePayment,DuitNow,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
iatapay,RealTimePayment,Fps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
iatapay,RealTimePayment,PromptPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
iatapay,RealTimePayment,VietQr,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
iatapay,Upi,UpiCollect,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
iatapay,Upi,UpiIntent,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
imerchantsolutions,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
imerchantsolutions,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
inespay,BankDebit,Sepa,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
itaubank,BankTransfer,Pix,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
jpmorgan,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
jpmorgan,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
klarna,PayLater,Klarna,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
loonio,BankRedirect,Interac,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
mifinity,Wallet,Mifinity,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
mollie,BankDebit,Sepa,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
mollie,BankRedirect,BancontactCard,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
mollie,BankRedirect,Eps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
mollie,BankRedirect,Giropay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
mollie,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
mollie,BankRedirect,Przelewy24,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
mollie,BankRedirect,Sofort,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
mollie,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
mollie,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
mollie,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
mollie,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
mollie,PayLater,Klarna,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
mollie,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
mollie,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
moneris,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
moneris,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
moneris,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
moneris,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
multisafepay,BankRedirect,Eps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
multisafepay,BankRedirect,Giropay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
multisafepay,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
multisafepay,BankRedirect,Sofort,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
multisafepay,BankRedirect,Trustly,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
multisafepay,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
multisafepay,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
multisafepay,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
multisafepay,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
multisafepay,PayLater,Klarna,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
multisafepay,Wallet,AliPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
multisafepay,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
multisafepay,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
multisafepay,Wallet,MbWay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
multisafepay,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
multisafepay,Wallet,WeChatPay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
nexinets,BankRedirect,Eps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nexinets,BankRedirect,Giropay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nexinets,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nexinets,BankRedirect,Sofort,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nexinets,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nexinets,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
nexinets,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nexinets,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
nexinets,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
nexinets,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
nexixpay,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nexixpay,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
nexixpay,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nexixpay,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
nmi,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nmi,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
nmi,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nmi,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
nmi,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
nmi,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
nmi,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
nmi,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
noon,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
noon,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
noon,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
noon,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
noon,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
noon,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
noon,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
noon,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
noon,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
novalnet,BankDebit,Sepa,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
novalnet,BankDebit,Sepa,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
novalnet,BankDebit,SepaGuarenteedDebit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
novalnet,BankDebit,SepaGuarenteedDebit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
novalnet,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
novalnet,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
novalnet,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
novalnet,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
novalnet,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
novalnet,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
novalnet,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
novalnet,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
novalnet,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
novalnet,Wallet,Paypal,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
nuvei,BankRedirect,Eps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nuvei,BankRedirect,Giropay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nuvei,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nuvei,BankRedirect,Sofort,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nuvei,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nuvei,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
nuvei,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nuvei,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
nuvei,NetworkToken,NetworkToken,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
nuvei,PayLater,AfterpayClearpay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
nuvei,PayLater,Klarna,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
nuvei,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
nuvei,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
nuvei,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
nuvei,Wallet,GooglePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
nuvei,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
opennode,Crypto,CryptoCurrency,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
paybox,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
paybox,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
paybox,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
paybox,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
payeezy,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
payeezy,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
payjustnow,PayLater,Payjustnow,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
payjustnowinstore,PayLater,Payjustnow,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
payload,BankDebit,Ach,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
payload,BankDebit,Ach,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
payload,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
payload,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
payload,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
payload,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
payme,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
payme,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
payme,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
payme,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
payme,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
payme,Wallet,ApplePay,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
paypal,BankRedirect,Eps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
paypal,BankRedirect,Giropay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
paypal,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
paypal,BankRedirect,Sofort,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
paypal,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
paypal,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
paypal,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
paypal,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
paypal,Wallet,Paypal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
paypal,Wallet,Paypal,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
paysafe,BankRedirect,Interac,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
paysafe,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
paysafe,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
paysafe,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
paysafe,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",covered
paysafe,GiftCard,PaySafeCard,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
paysafe,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
paysafe,Wallet,Skrill,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
paystack,BankRedirect,Eft,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
paytm,Upi,UpiCollect,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
paytm,Upi,UpiIntent,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
payu,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
payu,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
payu,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
payu,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
peachpayments,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
peachpayments,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
peachpayments,NetworkToken,NetworkToken,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
phonepe,Upi,UpiCollect,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
phonepe,Upi,UpiIntent,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
placetopay,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
placetopay,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
plaid,OpenBanking,OpenBankingPIS,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
powertranz,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
powertranz,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
prophetpay,CardRedirect,CardRedirect,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
rapyd,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
rapyd,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
rapyd,Wallet,ApplePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
rapyd,Wallet,GooglePay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
razorpay,Upi,UpiCollect,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
redsys,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
redsys,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
revolv3,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
revolv3,Card,Credit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
revolv3,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
revolv3,Card,Debit,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
santander,BankTransfer,Pix,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
santander,BankTransfer,PixAutomaticoPush,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
santander,BankTransfer,PixAutomaticoPush,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
santander,BankTransfer,PixAutomaticoQr,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
santander,BankTransfer,PixAutomaticoQr,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",no_cypress_config
santander,Voucher,Boleto,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,no_cypress_config
shift4,BankRedirect,Eps,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
shift4,BankRedirect,Giropay,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
shift4,BankRedirect,Ideal,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
shift4,BankRedirect,Sofort,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
shift4,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
shift4,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
silverflow,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
silverflow,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
square,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
square,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stax,BankDebit,Ach,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stax,Card,Credit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stax,Card,Debit,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
stripe,BankDebit,Ach,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,BankDebit,Ach,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
stripe,BankDebit,Bacs,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,BankDebit,Bacs,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
stripe,BankDebit,Becs,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,BankDebit,Becs,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
stripe,BankDebit,Sepa,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,not_covered
stripe,BankDebit,Sepa,Mandate,"Recurring/stored credential mandate setup for this connector + PM + PMT combination","POST /payments (setup_future_usage+mandate_data)",not_covered
stripe,BankRedirect,BancontactCard,Payment,"Base payment authorization for this connector + PM + PMT combination",POST /payments,covered
